ever60_24m_StrictFlag,Doc_form_16,edu_max,age_max,age_min,REQUESTED_TENURE,Organization_type,City_tier,Loan_sub_type_1,SAL_FLAG,emi_income_sum,LTV_sq,LOG_income_sum,HAS_INSURANCE,CHANNEL_CODE_GROUPED,Bureau_prd_grouped,has_coapplicant,has_delinquency,enquiry_risk,dependent_band_encoded,no_of_loans,no_of_active_loans,emi_income_risk_flag,emi_stress_flag
0,0,1,40,35,15.0,2,2,0,0,0.364426726,0.21777777808888887,9.94366934216896,0,2,1,1,0,1,3,3,1,0,0
0,0,4,31,27,30.0,2,3,0,1,0.585528846,0.6421984447171225,9.942756341456828,1,2,2,1,0,1,1,0,1,0,0
0,0,3,46,43,20.0,2,1,1,0,0.528728887,0.49726229324580246,10.10323281855688,1,1,2,1,0,1,1,0,1,0,0
0,0,3,31,23,27.0,2,1,3,1,0.599078947,0.2992183504910512,10.034559673629849,0,1,2,1,0,1,3,0,1,0,0
0,0,1,50,27,20.0,2,2,4,1,0.287361165,0.417650052699801,10.732734052335477,1,1,1,1,0,1,1,0,1,0,0
0,0,3,47,24,18.0,0,3,4,0,0.432084732,0.7805670656306084,10.392739629813782,0,2,0,1,0,1,1,0,0,0,0
0,0,3,41,24,30.0,0,3,0,0,0.440470321,0.5959572396923983,10.366613418473554,1,2,2,1,0,1,3,2,1,0,0
0,0,3,31,26,15.0,0,1,1,0,0.514935593,0.2783260257437059,10.539753486724026,1,1,1,1,0,2,1,1,0,0,0
0,0,3,50,24,20.0,2,1,3,1,0.398571429,0.5980615934918252,10.645448706505872,0,2,1,1,0,2,1,3,3,0,0
0,0,4,33,28,5.0,3,3,4,1,0.482911392,0.11935150114225394,10.891559265504869,1,1,2,1,0,1,1,1,1,0,0
0,0,3,26,26,30.0,2,1,3,1,0.580445737,0.6263301141609624,9.86526633971593,1,2,2,1,0,1,3,3,3,0,0
0,0,3,37,32,25.0,2,1,0,1,0.496004583,0.16000000000000003,10.46070045585524,0,2,2,1,1,0,1,4,4,0,0
0,0,3,28,26,20.0,3,3,0,1,0.564789651,0.24446145505428923,9.820051594294094,1,2,2,1,0,1,3,1,2,0,0
