,Dummy_application_id,ever60_24m_StrictFlag,NATURE_OF_ORGANISATION,OCCUPATION_TYPE,Max_dependent,LTV,Doc_form_16,income_max,income_sum,income_min,edu_max,edu_min,age_max,age_min,cnt_coapplicant,REQUESTED_TENURE,PROPERTY_INSURANCE_AMT,Organization_type,SALARIED_SELF,CHANNEL_CODE,City_tier,FOIR2,Loan_sub_type_1,SAL_FLAG,emi_income_max,emi_income_sum,All_No_of_TL,All_open_TL,All_Vin_bureau,All_min_Vin_bureau,All_Delq_TL_24_M,No_of_enq_All,Latest_Bureau_prd,Bureau_TL
3628,6937627,0,Public Ltd. Co.,SALARIED,0,,1,11266.0,11266.0,0.0,3,3,46,36,1,168.0,5016.0,4.Public Ltd. Co.,SALARIED,DSA,2,,Self Construction,SAL,0.625865436,0.625865436,6,2,81,15,1,2,GL,8.<36 TWL GL
3629,6937781,1,Government,SALARIED,0,0.896732558,0,20413.0,35255.0,14842.0,3,3,42,35,1,216.0,6618.0,2.Govt,SALARIED,UBL Sales,2,59.09232733,Builder Ready,SAL,0.836378778,0.484271735,6,3,89,13,0,12,CL,10.<36 Others
3630,6937969,0,Private Ltd. Co.,SALARIED,2,0.351743538,0,47156.0,91770.0,44614.0,4,4,34,32,1,180.0,10115.0,3.Private Ltd Co,SALARIED,CROSS SALES,1,,Resale Ready,SAL,0.534438884,0.274621336,25,9,105,16,3,51,CL,10.<36 Others
3631,6937991,0,Government,SAL(RETIRAL AGE 58),2,0.520188,0,47603.0,47603.0,0.0,4,4,41,36,1,228.0,0.0,2.Govt,SALARIED,UBL Sales,2,,Builder UNC,SAL,0.110455223,0.110455223,8,4,125,16,2,20,PL,6.<36 PL
3632,6938361,0,Proprietor-Proprietorship Firm (Staff More than 25),PROPRIETOR,2,0.732469607,0,22866.9167,22866.9167,0.0,2,2,28,26,1,240.0,7174.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,39.84358766,Builder Ready,NONSAL,0.398435877,0.398435877,1,-999,65,65,0,2,TWL,12.>36 PL TWL GL
3633,6938507,1,Proprietor-Proprietorship Firm (Staff Less than 25),SELF-EMPLOYED,2,0.445288537,0,60000.0,60000.0,0.0,2,1,34,32,1,180.0,0.0,3.Private Ltd Co,SELF_EMP,CROSS SALES,2,,Builder Ready,NONSAL,0.364216667,0.364216667,3,1,56,7,1,12,GL,8.<36 TWL GL
3634,6938533,0,Private Ltd. Co.,SALARIED,0,0.563558804,0,13689.0,13689.0,0.0,3,3,54,27,1,300.0,9120.0,3.Private Ltd Co,SALARIED,UBL Sales,1,58.02469136,Resale Ready,SAL,0.580246914,0.580246914,1,1,5,5,0,4,TWL,5.<6 Others
3635,6940515,0,MNC,SALARIED,3,,0,38178.0,57100.0,18922.0,2,2,39,35,1,252.0,0.0,5.MNC,SALARIED,CROSS SALES,1,,Builder UNC,SAL,0.93103358,0.622504378,8,5,150,7,0,22,CC,9.<36 CC
3636,6940601,0,Public Ltd. Co.,SALARIED,2,0.686766,0,20031.0,20031.0,0.0,3,3,40,38,1,228.0,0.0,4.Public Ltd. Co.,SALARIED,CROSS SALES,2,,Self Construction,SAL,0.571863611,0.571863611,6,5,109,26,0,7,CL,10.<36 Others
3637,6940873,0,Partner-Partnership Firm (Staff Less than 10),SALARIED,2,0.406716242,0,16500.0,16500.0,0.0,3,3,39,36,1,180.0,4981.0,3.Private Ltd Co,SALARIED,CROSS SALES,1,88.4,Builder UNC,SAL,0.338545455,0.338545455,1,1,16,16,0,-11111,HL,7.<36 AL HL LAS
3638,6941063,0,Government,SALARIED,1,0.360803561,0,21341.0,21341.0,0.0,3,3,47,44,1,144.0,3714.0,2.Govt,SALARIED,DSA,2,50.98167846,Builder Ready,SAL,0.290989176,0.290989176,3,1,62,25,0,5,CL,10.<36 Others
3639,6941107,0,Government,SALARIED,3,0.703376911,0,25502.0,25502.0,0.0,3,3,31,26,1,324.0,9180.0,2.Govt,SALARIED,CROSS SALES,2,58.59148302,Builder UNC,SAL,0.58591483,0.58591483,2,1,36,22,0,4,CL,10.<36 Others
